,filter_interaction,example_no,motif1,motif1_qval,motif2,motif2_qval,mean_distance,mean_distance_bg,num_obs,num_obs_bg,pval,adjusted_pval,TF1,TF2,TF_Interaction,TF1_Family,TF2_Family,Family_Interaction
557,filter110$\longleftrightarrow$filter135,15919,M1605_1.02,0.022547799999999996,M1110_1.02,0.027917599999999997,144.0,192.0,103.0,258.0,5.006285273902568e-07,1.0182112477208863e-06,SOX1,HHEX,SOX1$\longleftrightarrow$HHEX,Sox,Homeodomain,Sox$\longleftrightarrow$Homeodomain
558,filter117$\longleftrightarrow$filter124,16503,M1605_1.02,0.0443084,M0632_1.02,0.013403899999999998,132.0,48.0,58.0,238.0,0.012701612872193787,0.013489901158556163,SOX1,DMRTA2,SOX1$\longleftrightarrow$DMRTA2,Sox,DM,Sox$\longleftrightarrow$DM
559,filter117$\longleftrightarrow$filter130,16509,M1605_1.02,0.0443084,M0891_1.02,0.040161,18.0,378.0,176.0,272.0,4.4110282253693865e-08,1.1788667373090475e-07,SOX1,TLX2,SOX1$\longleftrightarrow$TLX2,Sox,Homeodomain,Sox$\longleftrightarrow$Homeodomain
560,filter117$\longleftrightarrow$filter131,16510,M1605_1.02,0.0443084,M0424_1.02,0.0111822,102.0,234.0,166.0,274.0,4.393286340628471e-05,6.237212498760225e-05,SOX1,SNAI3,SOX1$\longleftrightarrow$SNAI3,Sox,C2H2 ZF,Sox$\longleftrightarrow$C2H2 ZF
561,filter117$\longleftrightarrow$filter133,16512,M1605_1.02,0.0443084,M0609_1.02,0.00486299,6.0,54.0,191.0,240.0,1.7853131176819454e-18,2.975210289833315e-17,SOX1,DNMT1,SOX1$\longleftrightarrow$DNMT1,Sox,CxxC,Sox$\longleftrightarrow$CxxC
562,filter117$\longleftrightarrow$filter135,16514,M1605_1.02,0.0443084,M1110_1.02,0.027917599999999997,132.0,294.0,166.0,221.0,9.386636203118653e-08,2.300051041918912e-07,SOX1,HHEX,SOX1$\longleftrightarrow$HHEX,Sox,Homeodomain,Sox$\longleftrightarrow$Homeodomain
563,filter117$\longleftrightarrow$filter151,16530,M1605_1.02,0.0443084,M1507_1.02,0.00163482,126.0,36.0,141.0,247.0,8.059294564268703e-10,3.1360311244581027e-09,SOX1,LCOR,SOX1$\longleftrightarrow$LCOR,Sox,Pipsqueak,Sox$\longleftrightarrow$Pipsqueak
564,filter117$\longleftrightarrow$filter159,16538,M1605_1.02,0.0443084,M0607_1.02,0.0061845,348.0,198.0,108.0,181.0,0.007184367516184052,0.00775706981140225,SOX1,KDM2B,SOX1$\longleftrightarrow$KDM2B,Sox,CxxC,Sox$\longleftrightarrow$CxxC
565,filter117$\longleftrightarrow$filter161,16540,M1605_1.02,0.0443084,M4459_1.02,0.0224206,84.0,30.0,150.0,171.0,0.00013150551655317986,0.00017346270404389855,SOX1,EGR1,SOX1$\longleftrightarrow$EGR1,Sox,C2H2 ZF,Sox$\longleftrightarrow$C2H2 ZF
566,filter117$\longleftrightarrow$filter162,16541,M1605_1.02,0.0443084,M0609_1.02,0.0188738,60.0,66.0,97.0,224.0,0.0004533554328637625,0.000558880845393244,SOX1,DNMT1,SOX1$\longleftrightarrow$DNMT1,Sox,CxxC,Sox$\longleftrightarrow$CxxC
567,filter117$\longleftrightarrow$filter193,16572,M1605_1.02,0.0443084,M0891_1.02,0.00465549,270.0,6.0,142.0,256.0,6.890278547271941e-06,1.1144185272340743e-05,SOX1,TLX2,SOX1$\longleftrightarrow$TLX2,Sox,Homeodomain,Sox$\longleftrightarrow$Homeodomain
568,filter117$\longleftrightarrow$filter195,16574,M1605_1.02,0.0443084,M4604_1.02,0.0263842,18.0,108.0,119.0,103.0,0.000524492050744655,0.0006403752196088365,SOX1,ZNF263,SOX1$\longleftrightarrow$ZNF263,Sox,C2H2 ZF,Sox$\longleftrightarrow$C2H2 ZF
569,filter117$\longleftrightarrow$filter197,16576,M1605_1.02,0.0443084,M1110_1.02,0.00768872,18.0,36.0,136.0,278.0,5.884259018836626e-06,9.654431163379887e-06,SOX1,HHEX,SOX1$\longleftrightarrow$HHEX,Sox,Homeodomain,Sox$\longleftrightarrow$Homeodomain
570,filter118$\longleftrightarrow$filter130,16590,M0437_1.02,0.03969980000000001,M0891_1.02,0.040161,312.0,12.0,172.0,408.0,1.4906463598797566e-09,5.459985458569925e-09,ZNF32,TLX2,TLX2$\longleftrightarrow$ZNF32,C2H2 ZF,Homeodomain,Homeodomain$\longleftrightarrow$C2H2 ZF
571,filter118$\longleftrightarrow$filter133,16593,M0437_1.02,0.03969980000000001,M0609_1.02,0.00486299,444.0,192.0,188.0,359.0,2.6847851268866127e-19,4.997468455485432e-18,ZNF32,DNMT1,ZNF32$\longleftrightarrow$DNMT1,C2H2 ZF,CxxC,CxxC$\longleftrightarrow$C2H2 ZF
